540.0,990.0,0
533.0,992.0,1
526.0,994.0,2
519.0,995.0,3
511.0,997.0,4
504.0,998.0,5
497.0,1000.0,6
489.0,1001.0,7
482.0,1003.0,8
475.0,1004.0,9
468.0,1006.0,10
460.0,1008.0,11
453.0,1009.0,12
446.0,1011.0,13
438.0,1012.0,14
431.0,1014.0,15
424.0,1015.0,16
417.0,1017.0,17
409.0,1018.0,18
402.0,1020.0,19
395.0,1021.0,20
387.0,1023.0,21
380.0,1025.0,22
373.0,1026.0,23
366.0,1028.0,24
358.0,1029.0,25
351.0,1031.0,26
344.0,1032.0,27
336.0,1034.0,28
329.0,1035.0,29
322.0,1037.0,30
315.0,1038.0,31
307.0,1040.0,32
300.0,1041.0,33
293.0,1043.0,34
285.0,1045.0,35
278.0,1046.0,36
271.0,1048.0,37
264.0,1049.0,38
256.0,1051.0,39
249.0,1052.0,40
242.0,1054.0,41
235.0,1055.0,42
227.0,1057.0,43
220.0,1058.0,44
213.0,1060.0,45
205.0,1062.0,46
198.0,1063.0,47
191.0,1065.0,48
184.0,1066.0,49
176.0,1068.0,50
169.0,1069.0,51
162.0,1071.0,52
155.0,1072.0,53
147.0,1074.0,54
140.0,1075.0,55
133.0,1077.0,56
126.0,1079.0,57
118.0,1080.0,58
111.0,1082.0,59
104.0,1083.0,60
97.0,1085.0,61
89.0,1086.0,62
82.0,1088.0,63
75.0,1089.0,64
68.0,1091.0,65
60.0,1092.0,66
53.0,1094.0,67
46.0,1096.0,68
39.0,1097.0,69
32.0,1099.0,70
24.0,1100.0,71
17.0,1102.0,72
10.0,1103.0,73
3.0,1105.0,74
